user_id,status_id,created_at,screen_name,text,pic1,pic2,pic3,pic4
161366031,1075264883367632896,2018-12-19T05:41:40Z,Eeysirhc,"#tidytuesday getting back into the keywords game this week with a little text mining. primary COD is pneumonia but the term that sticks out is ""capture shock"" for females. also, ""seawater drowning"" as COD is interesting for those born in captivity
code: https://t.co/CiTtOo5FYK https://t.co/CktMFxkxZn",https://twitter.com/Eeysirhc/status/1075264883367632896/photo/1,https://twitter.com/Eeysirhc/status/1075264883367632896/photo/1,NA,NA
161366031,1072728604440580096,2018-12-12T05:43:24Z,Eeysirhc,"#tidytuesday despite what they say NY hotdog stands have some of the best inspection scores
not my cleanest visualization but on the plus side I try my hand at Bayesian stats
code: https://t.co/JcmfQfj9oD https://t.co/jY3lbo2OZe",https://twitter.com/Eeysirhc/status/1072728604440580096/photo/1,NA,NA,NA
161366031,1074488199907500032,2018-12-17T02:15:24Z,Eeysirhc,"I realize it's a Sunday night but I wasn't too happy with my last #tidytuesday so I refactored the code, fixed the math and cleaned up the chart
code: https://t.co/JcmfQfj9oD https://t.co/YOkdEHhwsT",https://twitter.com/Eeysirhc/status/1074488199907500032/photo/1,NA,NA,NA
3181988029,1075197256062644224,2018-12-19T01:12:56Z,clairemcwhite,"@thomas_mock Maybe a shorter one line subtitle, like ""Weekly data projects"". If someone read that on a sticker, it could catch their attention enough to google for what #tidytuesday is. But title alone is good too.",NA,NA,NA,NA
470648737,1075186982203084801,2018-12-19T00:32:07Z,stevie_t13,#BeckyG #TidyTuesday https://t.co/2gMf6QLVz1,https://twitter.com/stevie_t13/status/1075186982203084801/photo/1,NA,NA,NA
470648737,1072518335001169920,2018-12-11T15:47:52Z,stevie_t13,#ArianaGrande #thankunext #TidyTuesday https://t.co/2g3ZrEbZIL,https://twitter.com/stevie_t13/status/1072518335001169920/photo/1,NA,NA,NA
1241814552,1074664472634109952,2018-12-17T13:55:51Z,thomas_mock,"The @R4DScommunity welcomes you to week 38 of #TidyTuesday!  We're exploring captive Cetaceans (whale, dolphin, porpoise) data from @puddingviz and @ProQuesAsker!

📂 https://t.co/sElb4fcv3u   
🗞️ https://t.co/IYycmJPwZG

#r4ds #tidyverse #rstats #dataviz https://t.co/Jwrt4TwJ9Q",https://twitter.com/thomas_mock/status/1074664472634109952/photo/1,https://twitter.com/thomas_mock/status/1074664472634109952/photo/1,https://twitter.com/thomas_mock/status/1074664472634109952/photo/1,https://twitter.com/thomas_mock/status/1074664472634109952/photo/1
1241814552,1075028993345245185,2018-12-18T14:04:19Z,thomas_mock,"#r4ds community, please vote on a #TidyTuesday hex-sticker! 

⚠️⚠️ Poll is in thread below ⚠️⚠️

@kierisi @JonTheGeek @R4DScommunity https://t.co/IN7gplEVi7",https://twitter.com/thomas_mock/status/1075028993345245185/photo/1,https://twitter.com/thomas_mock/status/1075028993345245185/photo/1,NA,NA
1241814552,1072163012327415808,2018-12-10T16:15:56Z,thomas_mock,"The @R4DScommunity welcomes you to week 37 of #TidyTuesday!  We're exploring #nyc #opendata on restaurant inspections from @NYCDoITT!

📂 https://t.co/sElb4fcv3u  
📦 https://t.co/Ls0O6sdWjO

#r4ds #tidyverse #rstats #dataviz https://t.co/na76tYXeot",https://twitter.com/thomas_mock/status/1072163012327415808/photo/1,https://twitter.com/thomas_mock/status/1072163012327415808/photo/1,https://twitter.com/thomas_mock/status/1072163012327415808/photo/1,https://twitter.com/thomas_mock/status/1072163012327415808/photo/1
1241814552,1075173440481579010,2018-12-18T23:38:18Z,thomas_mock,"@jschwabish @jsonbaik @awunderground Hey @jschwabish this is an awesome thread!

Having a project/dataset to work with making it easier to learn resonates with me. It is the reason why we (@R4DScommunity) founded #TidyTuesday - a weekly data project to help you learn R by mini-data analyses!

https://t.co/xBeWiaHY9M",NA,NA,NA,NA
3241514042,1072620801915006976,2018-12-11T22:35:02Z,GoodGreenApp,"#TidyTuesday Packing tip: stuff your socks into your shoes to save space! Also, who has a label maker?! That’s a thing? (Update: It’s a thing. And it is AWESOME.) https://t.co/3zIdmUY5Rb",https://twitter.com/GoodGreenApp/status/1072620801915006976/photo/1,NA,NA,NA
3241514042,1075157007274008576,2018-12-18T22:33:00Z,GoodGreenApp,"#TidyTuesday Packing tip! Lay necklaces vertically on a sturdy book or piece of cardboard. Then wrap the whole thing in plastic wrap, rendering the necklaces immobile and therefore unable to tangle themselves up into little horrific balls of hell!",NA,NA,NA,NA
2491109244,1075126059559989249,2018-12-18T20:30:02Z,othomn,"Week 38 of #tidytuesday #rstats, luckily, the practice of capturing cetaceans has declined in the '90s. 

Check the code :) https://t.co/4y6611Ilbn https://t.co/Q0eIpbDYyq",https://twitter.com/othomn/status/1075126059559989249/photo/1,NA,NA,NA
1530064784,1072777290449371136,2018-12-12T08:56:51Z,nacnudus,"This week's #TidyTuesday screencast (late!), starring tabulizer and hocr and a cameo of Python's pdfplumber to fix some messy data about invasive species. I also write a correct regex first time and run out of mucky tidytuesday datasets to munge #rstats https://t.co/oGWacbs3Y2",NA,NA,NA,NA
1530064784,1075123192803614721,2018-12-18T20:18:38Z,nacnudus,"Sorry no TidyTuesday video today, I recorded it twice and the sound failed both times!  I'll be back with one of these lovely spreadsheets as soon as possible https://t.co/pwOK4ko5ds",NA,NA,NA,NA
1530064784,1073876542885908480,2018-12-15T09:44:54Z,nacnudus,@opencpu I wished for this on #TidyTuesday not knowing it had already landed. Brilliant to see the one-row-per-cell ecosystem growing https://t.co/oGWacbs3Y2,NA,NA,NA,NA
1056971154626363394,1075081880645627905,2018-12-18T17:34:29Z,Dans_turf,"Only 1 way to make ironing bearable 🎞 😜
#loveactually 
“There was more than 1 Lobster present at the birth of Jesus?’ 

#christmasmovies #christmaspreparations #ironing #tidytuesday… https://t.co/H6N0VBDNUy",NA,NA,NA,NA
122462547,1072499440471154690,2018-12-11T14:32:47Z,harrocyranka,"#TidyTuesday week 37. Focused on the proportion of A grades.
The zip code map took me a long time, but it was good practice also using QGIS. If anyone knows a zip code map in R, let me know :)
#r4ds #tidyverse #rstats #dataviz #datascience https://t.co/UkYpamsq78",https://twitter.com/harrocyranka/status/1072499440471154690/photo/1,https://twitter.com/harrocyranka/status/1072499440471154690/photo/1,NA,NA
122462547,1075059352531333120,2018-12-18T16:04:57Z,harrocyranka,"I just love dark plots in ggplot2. Graph 1 is a network graph of origin -&gt; destination of cetaceans. Second one is median life span. Interesting that life span has stalled/decreased.
#tidytuesday #rstats #dataviz #datascience #r4ds #hireme https://t.co/PWcN0A9Nlr",https://twitter.com/harrocyranka/status/1075059352531333120/photo/1,https://twitter.com/harrocyranka/status/1075059352531333120/photo/1,NA,NA
959599787946532869,1072941886518820864,2018-12-12T19:50:54Z,DataVizJohansen,"Week 37 #TidyTuesday:

An unconventional way to explore @nycgov's restaurant scene. I explore inspection scores &amp; grades of popular cuisine types per borough. https://t.co/5i5s89OeIx 

@UCLibraries | @R4DScommunity | #UCVizLab | #r4ds | #tidyverse | #rstats | #dataviz | #ggplot2 https://t.co/d3dRZw8zDV",https://twitter.com/DataVizJohansen/status/1072941886518820864/photo/1,NA,NA,NA
959599787946532869,1075044280081768448,2018-12-18T15:05:04Z,DataVizJohansen,"Last #TidyTuesday of the year!

Week 38: Cetacean Birth Types by species from 1938-2017
Code available: https://t.co/5i5s89OeIx

@UCLibraries | @R4DScommunity | #UCVizLab | #r4ds | #tidyverse | #rstats | #dataviz | #ggplot2 https://t.co/h3ufZlL8ld",https://twitter.com/DataVizJohansen/status/1075044280081768448/photo/1,NA,NA,NA
983470194982088704,1072480089517056000,2018-12-11T13:15:53Z,R4DScommunity,It's #TidyTuesday y'all! https://t.co/7fodnuLJjK,NA,NA,NA,NA
983470194982088704,1075012378843062274,2018-12-18T12:58:18Z,R4DScommunity,It's #tidytuesday y'all! https://t.co/KhwB1sEBoV,NA,NA,NA,NA
983470194982088704,1074664920514465793,2018-12-17T13:57:38Z,R4DScommunity,This week's #tidytuesday data! Big thanks to @ProQuesAsker for collecting this data and hosting on Github! https://t.co/KhwB1sEBoV,NA,NA,NA,NA
983470194982088704,1074665444303429633,2018-12-17T13:59:42Z,R4DScommunity,"@sebastianhwells @jspairani Hi Sebastian - every week on Monday we post a dataset and some example article info on our Twitter. 

You can also skip directly to our GitHub which has the metadata and article information at https://t.co/J46z0iFGQp.

- Tom",NA,NA,NA,NA
983470194982088704,1072163139695845376,2018-12-10T16:16:26Z,R4DScommunity,This week's #TidyTuesday data! https://t.co/7fodnuLJjK,NA,NA,NA,NA
1045196157306068992,1074923229267947526,2018-12-18T07:04:03Z,shohct,D71 of #100DaysOfCode Have been working quietly through the R for Data Science book. The stringr package seems the easiest to pick up thus far. Excited for #TidyTuesday tmr!! #rstats #tidyverse,NA,NA,NA,NA
1045196157306068992,1072704124695662592,2018-12-12T04:06:07Z,shohct,"D65 #100DaysOfCode It's #TidyTuesday!! Is it weird I'm excited about Tuesdays now?

Played with some new functions/codes for the plot. Tried to recode violation description but couldn't figure out how yet...🤷‍♀️ #rstats https://t.co/xz9GVBjMA6",https://twitter.com/shohct/status/1072704124695662592/photo/1,https://twitter.com/shohct/status/1072704124695662592/photo/1,NA,NA
276241442,1074633232795230209,2018-12-17T11:51:43Z,rdelgadoCF,@sebastianhwells It's tidytuesday project data. You can check it here https://t.co/DHj51GFx6s,NA,NA,NA,NA
276241442,1074848516986601476,2018-12-18T02:07:10Z,rdelgadoCF,"For this week quick take on #TidyTuesday I tried to reproduce the look of the original plot in the article https://t.co/Ad2HStjkC3 Not that bad, I guess! #rstats #dataviz #r4ds #tidyverse https://t.co/rzefEhuoqj",https://twitter.com/rdelgadoCF/status/1074848516986601476/photo/1,https://twitter.com/rdelgadoCF/status/1074848516986601476/photo/1,NA,NA
